0	0
1	0
2	0
3	1002
4	1234
5	1223
6	1914
7	2509
8	2780
9	3363
10	3722
11	4266
12	4622
13	4936
14	5380
15	5777
16	5974
17	6292
18	6735
19	6945
20	7418
21	7752
22	8161
23	8557
24	9065
25	9607
26	9999
27	10620
28	11138
29	11602
30	12161
31	12538
32	13050
33	13033
34	13668
35	13748
36	13934
37	14066
38	14095
39	13962
40	14065
41	13752
42	13496
43	13284
44	12820
45	12383
46	11739
47	11262
48	10588
49	9954
50	9259
51	8524
52	8031
53	7151
54	6502
55	5924
56	5203
57	4573
58	4021
59	3440
60	2928
61	2498
62	2180
63	1767
64	1515
65	1242
66	1044
67	828
68	664
69	511
70	388
71	296
72	238
73	178
74	129
75	99
76	55
77	41
78	34
79	16
80	16
81	7
82	2
83	0
84	1
85	4
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
