0	0
1	0
2	0
3	0
4	0
5	342.373
6	1014.91
7	654.008
8	450.297
9	445.07
10	474.385
11	506.528
12	505.894
13	475.319
14	468.292
15	446.915
16	429.057
17	450.547
18	433.574
19	425.762
20	414.18
21	403.603
22	394.814
23	396.251
24	378.259
25	367.562
26	365.251
27	359.435
28	350.693
29	334.349
30	335.293
31	321.836
32	311.148
33	306.16
34	292.056
35	293.048
36	279.976
37	266.863
38	262.175
39	253.335
40	246.356
41	236.462
42	227.657
43	220.828
44	212.847
45	207.283
46	195.244
47	189.049
48	183.422
49	173.853
50	167.458
51	159.345
52	151.814
53	149.682
54	139.23
55	134.067
56	125.704
57	123.548
58	113.532
59	110.113
60	103.518
61	99.4763
62	93.5771
63	86.8374
64	83.5675
65	79.4012
66	74.5464
67	69.9094
68	64.7559
69	63.2423
70	57.9621
71	55.3556
72	50.5343
73	47.0383
74	44.8607
75	40.8433
76	39.1952
77	36.7967
78	33.4412
79	31.0699
80	29.2638
81	26.8495
82	24.794
83	22.4494
84	21.8195
85	19.4974
86	17.3728
87	16.0442
88	15.066
89	13.7612
90	12.4569
91	11.196
92	10.2485
93	9.60634
94	8.34207
95	7.57694
96	6.42415
97	5.94253
98	5.3963
99	4.59976
