0	0
1	0
2	0
3	2818.24
4	2768.86
5	1509.97
6	1503.32
7	1591.81
8	1230.04
9	1079.56
10	931.917
11	789.876
12	727.317
13	615.438
14	527.447
15	474.102
16	438.342
17	399.015
18	383.119
19	347.548
20	323.414
21	317.196
22	324.778
23	299.63
24	301.823
25	286.392
26	274.808
27	284.642
28	296.566
29	276.457
30	269.162
31	264.66
32	264.107
33	259.951
34	252.51
35	251.4
36	248.095
37	245.807
38	235.333
39	234.846
40	226.171
41	232.182
42	220.376
43	222.802
44	218.525
45	212.165
46	208.72
47	207.715
48	199.563
49	195.303
50	196.966
51	191.506
52	185.428
53	178.665
54	170.369
55	169.403
56	163.257
57	159.686
58	151.778
59	151.178
60	147.332
61	142.858
62	138.299
63	138.297
64	131.837
65	131.047
66	126.005
67	127.299
68	123.479
69	118.021
70	119.053
71	117.317
72	115.031
73	112.537
74	109.903
75	107.463
76	103.978
77	102.824
78	97.1668
79	95.1355
80	91.4567
81	85.5887
82	85.4378
83	80.3799
84	77.5087
85	73.3862
86	68.5553
87	66.0182
88	62.1344
89	59.1731
90	55.1944
91	53.3677
92	48.4565
93	45.6717
94	43.5419
95	40.0875
96	36.4618
97	33.689
98	30.5854
99	28.0862
